Exam Flag	Course Code	Course Name	Part	Sem
PG_SEMESTER_2Y_CBCS	702	(CBCS_PG) M.A. ARABIC	II	IV
PG_SEMESTER_2Y_CBCS	703	(CBCS_PG) M.A. BENGALI	II	IV
PG_SEMESTER_2Y_CBCS	705	(CBCS_PG) M.A. COMPARATIVE INDIAN LITERATURE	II	IV
PG_SEMESTER_2Y_CBCS	706	(CBCS_PG) M.A. EAST ASIAN STUDIES	II	IV
PG_SEMESTER_2Y_CBCS	707	(CBCS_PG) M.A. ECONOMICS	II	IV
PG_SEMESTER_2Y_CBCS	708	(CBCS_PG) M.A. ENGLISH	II	IV
PG_SEMESTER_2Y_CBCS	709	(CBCS_PG) M.A. ENVIRONMENTAL STUDIES	II	IV
PG_SEMESTER_2Y_CBCS	710	(CBCS_PG) M.A. FRENCH	II	IV
PG_SEMESTER_2Y_CBCS	711	(CBCS_PG) M.A. GEOGRAPHY	II	IV
PG_SEMESTER_2Y_CBCS	712	(CBCS_PG) M.A. GERMAN	II	IV
PG_SEMESTER_2Y_CBCS	714	(CBCS_PG) M.A. HINDUSTANI MUSIC (VOCAL/INSTRUMENTAL-SITAR/ SAROD/ GUITAR/ VIOLIN/ SANTOOR)
II	IV
PG_SEMESTER_2Y_CBCS	715	(CBCS_PG) M.A. HISPANIC	II	IV
PG_SEMESTER_2Y_CBCS	716	(CBCS_PG) M.A. HISTORY	II	IV
PG_SEMESTER_2Y_CBCS	717	(CBCS_PG) M.A. ITALIAN	II	IV
PG_SEMESTER_2Y_CBCS	718	(CBCS_PG) M.A. KARNATAK MUSIC (VOCAL/ VEENA/ VIOLIN)	II	IV
PG_SEMESTER_2Y_CBCS	719	(CBCS_PG) M.A. LIFE LONG LEARNING & EXTENSION	II	IV
PG_SEMESTER_2Y_CBCS	720	(CBCS_PG) M.A. LINGUISTICS	II	IV
PG_SEMESTER_2Y_CBCS	721	(CBCS_PG) M.A. PERCUSSION (TABLA/PAKHAWAJ)	II	IV
PG_SEMESTER_2Y_CBCS	722	(CBCS_PG) M.A. PERSIAN	II	IV
PG_SEMESTER_2Y_CBCS	723	(CBCS_PG) M.A. PHILOSOPHY	II	IV
PG_SEMESTER_2Y_CBCS	724	(CBCS_PG) M.A. POLITICAL SCIENCE	II	IV
PG_SEMESTER_2Y_CBCS	725	(CBCS_PG) M.A. PSYCHOLOGY	II	IV
PG_SEMESTER_2Y_CBCS	726	(CBCS_PG) M.A. PUNJABI	II	IV
